Host,hostname,groups,Modal Number
BHA-00-R1-ELV-SW1,192.168.100.11,hp_comware,HPE 5130 24/48G 4SFP+
BHA-02-R1-ELV-SW1,192.168.100.12,hp_comware,HPE 5130 24/48G 4SFP+
BHA-05-R1-ELV-SW1,192.168.100.13,hp_comware,HPE 5130 24/48G 4SFP+
BHA-05-R2-SW1,192.168.100.14,hp_comware,HPE 5130 24/48G 4SFP+
BHA-02-R2-SW1,192.168.100.15,hp_comware,HPE 5130 24/48G 4SFP+
BHB-00-R1-ELV-SW1,192.168.100.21,hp_comware,HPE 5130 24/48G 4SFP+
BHB-02-R1-ELV-SW1,192.168.100.22,hp_comware,HPE 5130 24/48G 4SFP+
BHB-05-R1-ELV-SW1,192.168.100.23,hp_comware,HPE 5130 24/48G 4SFP+
BHB-05-R2-SW1,192.168.100.24,hp_comware,HPE 5130 24/48G 4SFP+
BHB-02-R2-SW1,192.168.100.25,,Aruba JL 355A 2540
BHB-02-R2-SW2,,,Cisco SG 350
BH-C-R1-00-DSW,192.168.100.2,hp_comware,HP-5900AF-48XG-4QSFP+
BHC-00-R1-ELV-SW1,192.168.100.31,hp_comware,HPE 5130 24/48G 4SFP+
BHC-02-R1-ELV-SW1,192.168.100.32,hp_comware,HPE 5130 24/48G 4SFP+
BHC-05-R1-ELV-SW1,192.168.100.33,hp_comware,HPE 5130 24/48G 4SFP+
BHC-05-R2-SW1,192.168.100.34,hp_comware,HPE 5130 24/48G 4SFP+
BHC-02-R2-SW1,192.168.100.35,hp_comware,HPE 5130 24/48G 4SFP+
BHC-02-R2-SW2,,,Cisco SG 350
BHD-00-R1-ELV-SW1,192.168.100.41,hp_comware,HPE 5130 24/48G 4SFP+
BHD-02-R1-ELV-SW1,192.168.100.42,hp_comware,HPE 5130 24/48G 4SFP+
BHD-05-R1-ELV-SW1,192.168.100.43,hp_comware,HPE 5130 24/48G 4SFP+
BHD-05-R2-SW1,192.168.100.44,hp_comware,HPE 5130 24/48G 4SFP+
BHD-02-R2-SW1,192.168.100.45,hp_comware,HPE 5130 24/48G 4SFP+
BHD-02-R2-SW2,10.0.4.1,,HP 1910-8G-PoE+
BHE-00-R1-ELV-SW1,192.168.100.51,,Aruba 
BHE-02-R1-ELV-SW1,192.168.100.52,,Aruba 
BHE-05-R1-ELV-SW1,192.168.100.53,,Aruba 
BHE-02-R2-SW1,192.168.100.54,,Aruba 
BHE-02-R2-SW1,192.168.100.55,,Aruba 
BHF-00-R1-ELV-SW1,192.168.100.61,hp_comware,HPE 5130 24/48G 4SFP+
BHF-02-R1-ELV-SW1,192.168.100.62,hp_comware,HPE 5130 24/48G 4SFP+
BHF-05-R1-ELV-SW1,192.168.100.63,hp_comware,HPE 5130 24/48G 4SFP+
BHF-05-R2-SW1,192.168.100.64,hp_comware,HPE 5130 24/48G 4SFP+
BHF-02-R2-SW1,192.168.100.65,hp_comware,HPE 5130 24/48G 4SFP+
BHF-02-R2-SW2,,,SMB SW
BHG-00-R1-ELV-SW1,192.168.100.71,hp_comware,HPE 5130 24/48G 4SFP+
BHG-02-R1-ELV-SW1,192.168.100.72,hp_comware,HPE 5130 24/48G 4SFP+
BHG-05-R1-ELV-SW1,192.168.100.73,hp_comware,HPE 5130 24/48G 4SFP+
BHG-05-R2-SW1,192.168.100.74,hp_comware,HPE 5130 24/48G 4SFP+
BHG-02-R2-SW1,192.168.100.75,hp_comware,HPE 5130 24/48G 4SFP+
BHH-00-R1-ELV-SW1,192.168.100.81,hp_comware,HPE 5130 24/48G 4SFP+
BHH-02-R1-ELV-SW1,192.168.100.82,,Aruba JL 355A 2540
BHH-05-R1-ELV-SW1,192.168.100.83,hp_comware,HPE 5130 24/48G 4SFP+
BHH-05-R2-SW1,192.168.100.84,hp_comware,HPE 5130 24/48G 4SFP+
BHH-02-R2-SW1,192.168.100.85,hp_comware,HPE 5130 24/48G 4SFP+
GHA-00-R1-ELV-SW1,192.168.100.201,hp_comware,HPE 5130 24/48G 4SFP+
GHA-02-R1-ELV-SW1,192.168.100.202,hp_comware,HPE 5130 24/48G 4SFP+
GHA-05-R1-ELV-SW1,192.168.100.203,hp_comware,HPE 5130 24/48G 4SFP+
GHA-05-R2-SW1,192.168.100.204,hp_comware,HPE 5130 24/48G 4SFP+
GHA-02-R2-SW1,192.168.100.205,hp_comware,HPE 5130 24/48G 4SFP+
GHB-00-R1-ELV-SW1,192.168.100.211,hp_comware,HPE 5130 24/48G 4SFP+
GHB-02-R1-ELV-SW1,192.168.100.212,hp_comware,HPE 5130 24/48G 4SFP+
GHB-05-R1-ELV-SW1,192.168.100.213,hp_comware,HPE 5130 24/48G 4SFP+
GHB-05-R2-SW1,192.168.100.214,hp_comware,HPE 5130 24/48G 4SFP+
GHB-02-R2-SW1,192.168.100.215,hp_comware,HPE 5130 24/48G 4SFP+
