Hostname,IP Address,Interface,RX Power (dBm)
BHA-00-R1-ELV-SW1,192.168.100.11,Ten-GigabitEthernet1/0/28,-7.68
BHA-02-R2-SW1,192.168.100.15,Ten-GigabitEthernet1/0/50,-8.89
BHB-00-R1-ELV-SW1,192.168.100.21,Ten-GigabitEthernet1/0/27,-10.89
BHC-00-R1-ELV-SW1,192.168.100.31,ERROR,Login failed
BHC-02-R1-ELV-SW1,192.168.100.32,ERROR,Login failed
BHC-02-R2-SW1,192.168.100.35,ERROR,Login failed
BHC-05-R1-ELV-SW1,192.168.100.33,ERROR,Login failed
BHC-05-R2-SW1,192.168.100.34,ERROR,Login failed
BHD-00-R1-ELV-SW1,192.168.100.41,ERROR,Login failed
BHD-02-R1-ELV-SW1,192.168.100.42,ERROR,Login failed
BHD-02-R2-SW1,192.168.100.45,ERROR,Login failed
BHD-05-R1-ELV-SW1,192.168.100.43,ERROR,Login failed
BHF-00-R1-ELV-SW1,192.168.100.61,ERROR,Login failed
BHF-02-R1-ELV-SW1,192.168.100.62,ERROR,Login failed
BHF-02-R2-SW1,192.168.100.65,ERROR,Login failed
BHF-05-R1-ELV-SW1,192.168.100.63,ERROR,Login failed
BHF-05-R2-SW1,192.168.100.64,ERROR,Login failed
BHG-00-R1-ELV-SW1,192.168.100.71,Ten-GigabitEthernet1/0/25,-40
BHG-00-R1-ELV-SW1,192.168.100.71,Ten-GigabitEthernet1/0/26,-40
BHG-00-R1-ELV-SW1,192.168.100.71,Ten-GigabitEthernet1/0/28,-8.43
BHG-02-R2-SW1,192.168.100.75,Ten-GigabitEthernet1/0/49,-40
BHH-00-R1-ELV-SW1,192.168.100.81,Ten-GigabitEthernet1/0/25,-19
BHH-02-R2-SW1,192.168.100.85,Ten-GigabitEthernet1/0/52,-14.56
GHA-00-R1-ELV-SW1,192.168.100.201,ERROR,Login failed
GHA-02-R1-ELV-SW1,192.168.100.202,ERROR,Login failed
GHA-02-R2-SW1,192.168.100.205,Ten-GigabitEthernet1/0/49,-9.67
GHA-05-R1-ELV-SW1,192.168.100.203,ERROR,Login failed
GHB-00-R1-ELV-SW1,192.168.100.211,Ten-GigabitEthernet1/0/25,-8.35
GHB-02-R2-SW1,192.168.100.215,Ten-GigabitEthernet1/0/50,-36.96
