Hostname,Host IP Address,Command Result
BHA-00-R1-ELV-SW1,192.168.100.11, authorization-attribute user-role network-operator
BHA-02-R1-ELV-SW1,192.168.100.12, authorization-attribute user-role network-operator
BHA-02-R2-SW1,192.168.100.15, authorization-attribute user-role network-operator
BHA-05-R1-ELV-SW1,192.168.100.13, authorization-attribute user-role network-operator
BHA-05-R2-SW1,192.168.100.14, authorization-attribute user-role network-operator
BHB-00-R1-ELV-SW1,192.168.100.21," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
BHB-02-R1-ELV-SW1,192.168.100.22," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
BHB-05-R1-ELV-SW1,192.168.100.23," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
BHB-05-R2-SW1,192.168.100.24," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
BHC-00-R1-ELV-SW1,192.168.100.31," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
BHC-02-R1-ELV-SW1,192.168.100.32, authorization-attribute user-role network-operator
BHC-02-R2-SW1,192.168.100.35, authorization-attribute user-role network-operator
BHC-05-R1-ELV-SW1,192.168.100.33, authorization-attribute user-role network-operator
BHC-05-R2-SW1,192.168.100.34, authorization-attribute user-role network-operator
BHD-00-R1-ELV-SW1,192.168.100.41, authorization-attribute user-role network-operator
BHD-02-R1-ELV-SW1,192.168.100.42, authorization-attribute user-role network-operator
BHD-02-R2-SW1,192.168.100.45, authorization-attribute user-role network-operator
BHD-05-R1-ELV-SW1,192.168.100.43, authorization-attribute user-role network-operator
BHD-05-R2-SW1,192.168.100.44, authorization-attribute user-role network-operator
BHF-00-R1-ELV-SW1,192.168.100.61, authorization-attribute user-role network-operator
BHF-02-R1-ELV-SW1,192.168.100.62, authorization-attribute user-role network-operator
BHF-02-R2-SW1,192.168.100.65, authorization-attribute user-role network-operator
BHF-05-R1-ELV-SW1,192.168.100.63, authorization-attribute user-role network-operator
BHF-05-R2-SW1,192.168.100.64, authorization-attribute user-role network-operator
BHG-00-R1-ELV-SW1,192.168.100.71, authorization-attribute user-role network-operator
BHG-02-R1-ELV-SW1,192.168.100.72, authorization-attribute user-role network-operator
BHG-02-R2-SW1,192.168.100.75, authorization-attribute user-role network-operator
BHG-05-R1-ELV-SW1,192.168.100.73, authorization-attribute user-role network-operator
BHG-05-R2-SW1,192.168.100.74, authorization-attribute user-role network-operator
BHH-00-R1-ELV-SW1,192.168.100.81, authorization-attribute user-role network-operator
BHH-02-R2-SW1,192.168.100.85, authorization-attribute user-role network-operator
BHH-05-R1-ELV-SW1,192.168.100.83, authorization-attribute user-role network-operator
BHH-05-R2-SW1,192.168.100.84, authorization-attribute user-role network-operator
GHA-00-R1-ELV-SW1,192.168.100.201," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHA-02-R1-ELV-SW1,192.168.100.202," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHA-02-R2-SW1,192.168.100.205," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHA-05-R1-ELV-SW1,192.168.100.203," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHA-05-R2-SW1,192.168.100.204," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHB-00-R1-ELV-SW1,192.168.100.211," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHB-02-R1-ELV-SW1,192.168.100.212," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHB-02-R2-SW1,192.168.100.215," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHB-05-R1-ELV-SW1,192.168.100.213," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
GHB-05-R2-SW1,192.168.100.214," authorization-attribute user-role network-admin
 authorization-attribute user-role network-operator"
